sample	sex	biosample	population	population_name	superpopulation	superpopulation_name
HGDP00796	female	SAMEA3302713		Orcadian		West Eurasia 
SC_GMJOL5309921	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP00882	male			Russian		Europe 
HGDP01047	male	SAMEA3302779		Pima		America 
NA21112	male	SAME124182	GIH	Gujarati	SAS	South Asian Ancestry
HGDP00894	male			Russian		Europe 
HGDP00722	male	SAMEA3302652		Palestinian		West Eurasia 
NA21117	male	SAME124185	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01068	female			Sardinian		Europe 
HGDP01314	female	SAMEA3302827		Dai		East Asia 
NA21124	male	SAME124024	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01070	female			Sardinian		Europe 
HGDP00328	male	SAMEA3302754		Kalash		South Asia 
NA21129	male	SAME124023	GIH	Gujarati	SAS	South Asian Ancestry
HGDP01075	male			Sardinian		Europe 
NA15203	female	SAMEA3302678		Hungarian		West Eurasia 
SC_GMFUL5306359	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP01087	male			Biaka		Africa 
mixa0105	female	SAMEA3302811		Mixtec		America 
SC_GMFUL5306431	female		GWF	Gambian Fula	AFR	African Ancestry
HGDP01094	male			Biaka		Africa 
lez49	male	SAMEA3302664		Lezgin		West Eurasia 
SC_GMFUL5306347	male		GWF	Gambian Fula	AFR	African Ancestry
HGDP01099	male			Tujia		East Asia 
abh100	male	SAMEA3302693		Abkhasian		West Eurasia 
SC_GMJOL5309844	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP01102	male			Tujia		East Asia 
AV-21	female	SAMEA3302765		Crete		West Eurasia 
SC_GMJOL5309868	male		GWJ	Gambian Jola	AFR	African Ancestry
HGDP01272	male			Mozabite		Middle East 
iran17	male	SAMEA3302874		Iranian		West Eurasia 
SC_GMJOL5309813	female		GWJ	Gambian Jola	AFR	African Ancestry
